postcode,easting,northing,price
EH9 2EB,325719.0,671576.0,676287
EH6 6PL,327043.0,676645.0,260000
EH11 2DE,324090.0,672913.0,155500
EH10 5LT,323917.0,670822.0,220093
EH6 8PJ,326862.0,675362.0,179000
EH16 6YW,327411.0,670201.0,250000
EH4 7TF,320874.0,675062.0,280000
EH3 8DW,324298.0,673081.0,275000
EH16 5NZ,327038.0,671128.0,705888
EH14 1AH,323343.0,671323.0,515000
EH10 5BS,323549.0,671494.0,422500
EH6 5FL,326250.0,675879.0,265100
EH7 5PA,327087.0,674869.0,212000
EH6 5FB,326087.0,675395.0,232300
EH17 7JT,328777.0,669596.0,212000
EH6 7BZ,327170.0,676764.0,293000
EH6 5HX,326885.0,675952.0,260000
EH16 5SF,328031.0,670222.0,248333
EH4 4BS,322527.0,675948.0,140500
EH6 8EZ,327659.0,675348.0,345000
EH4 1RU,323578.0,675643.0,382500
EH11 2TW,323828.0,672996.0,238000
EH11 2HY,323632.0,672791.0,165000
EH7 4HX,325686.0,675177.0,555000
EH16 4EW,329811.0,671426.0,183000
EH6 4DT,326174.0,676847.0,148000
EH10 6LP,324325.0,669081.0,462000
EH13 0PJ,319859.0,668378.0,380000
EH4 8HP,317869.0,675203.0,330000
EH8 9HE,326221.0,672933.0,205000
EH13 9AY,323110.0,669164.0,180250
EH11 2FL,,,455000
EH4 3NH,321916.0,674368.0,650000
EH6 7DY,327670.0,676161.0,362000
EH11 2PS,322850.0,672285.0,173000
EH15 1EA,330050.0,674437.0,225000
EH8 7SJ,329190.0,673804.0,310000
EH11 1PF,323273.0,672019.0,275000
EH6 4PT,325853.0,676561.0,865000
EH12 8NU,318333.0,672667.0,510000
EH3 9GF,325625.0,672945.0,355000
EH7 5TE,327373.0,674341.0,250000
EH17 8RH,329397.0,668568.0,207500
EH10 4AS,324749.0,671393.0,543000
EH14 1AJ,323302.0,671101.0,380000
EH9 1AX,325013.0,672056.0,350000
EH11 1PD,323307.0,672028.0,443535
EH6 8BY,327469.0,675378.0,238000
EH5 2GE,323430.0,676048.0,250000
EH9 2JR,326254.0,672027.0,1200
EH10 5HT,324426.0,671035.0,310000
EH11 1UF,323065.0,672160.0,150000
EH6 8DQ,327429.0,675488.0,220000
EH5 2GA,323416.0,676099.0,235000
EH30 9YE,313322.0,677320.0,152500
EH11 2AU,323936.0,673058.0,320000
EH11 2HG,323624.0,672920.0,232500
EH12 5BT,323886.0,673434.0,560000
EH3 5LY,324967.0,675601.0,295000
EH13 0NX,321101.0,668753.0,360000
EH7 5PS,327103.0,674725.0,164000
EH3 6DS,324718.0,674236.0,900000
EH12 7EG,320448.0,672253.0,192000
EH10 4DE,324482.0,672012.0,330000
EH4 3DF,323890.0,673813.0,800000
EH17 8UE,328407.0,667886.0,315000
EH21 8FT,333397.0,671116.0,263995
EH7 6ED,327974.0,675047.0,160000
EH8 9LS,326137.0,672812.0,345100
EH12 8QQ,319847.0,673433.0,595000
EH16 6PA,326870.0,669644.0,465000
EH4 8GP,318135.0,674464.0,289995
EH17 8GB,328015.0,667436.0,350000
EH12 6EW,322287.0,673285.0,411513
EH14 1XR,322727.0,670970.0,390000
EH12 8ND,317860.0,672878.0,540000
EH6 5EF,326683.0,675626.0,245000
EH13 9QE,323334.0,668707.0,162500
EH6 8EA,327449.0,675600.0,702414
EH6 7BX,327294.0,676635.0,260000
EH17 8ZP,329336.0,668044.0,349995
EH4 3DF,323890.0,673813.0,895000
EH14 5RW,317403.0,667963.0,297250
EH14 5FF,316374.0,667308.0,290000
EH11 3SZ,320328.0,671138.0,305000
EH6 4LQ,325634.0,676967.0,156550
EH6 6AN,326748.0,676959.0,299995
EH6 5BG,326199.0,675825.0,232000
EH9 1EP,325237.0,672405.0,458000
EH11 4LU,319310.0,670265.0,100000
EH5 3ET,325063.0,676462.0,900000
EH6 8JF,327107.0,675577.0,210000
EH17 8LP,328614.0,668838.0,158000
EH17 7LF,329219.0,669368.0,287000
EH5 3HN,324929.0,676802.0,1402
EH7 6JF,328446.0,674739.0,167500
EH10 7BW,324621.0,667922.0,400000
EH12 6BZ,322622.0,673741.0,420000
EH12 7PP,319573.0,672441.0,345050
EH3 5AZ,324736.0,674681.0,582000
EH3 7TZ,324345.0,673917.0,820000
EH6 4LJ,325636.0,676992.0,155000
EH16 6YY,326605.0,668717.0,627500
EH9 1BT,325407.0,672169.0,373000
EH6 8RA,326713.0,675274.0,262000
EH11 2QR,322593.0,672258.0,254500
EH12 6HT,322020.0,673224.0,1472
EH4 8FG,318135.0,674464.0,425000
EH17 8XX,329693.0,668593.0,265000
EH4 7TD,320914.0,674464.0,765000
EH9 2ET,325742.0,671442.0,475000
EH7 4EB,325463.0,675080.0,190000
EH10 5ES,324333.0,671484.0,1300
EH8 7TP,329019.0,673960.0,170000
EH6 7HR,327473.0,676409.0,195000
EH16 4PZ,329729.0,671893.0,250000
EH4 6DE,318887.0,675726.0,667500
EH17 8ZN,329426.0,668017.0,200000
EH17 8JW,328386.0,668807.0,201059
EH17 8TP,329007.0,668252.0,173600
EH16 5XP,326719.0,672724.0,350000
EH3 5LY,324967.0,675601.0,302000
EH11 2TE,323773.0,672972.0,281100
EH6 4SE,325545.0,676754.0,1050
EH6 7JE,327502.0,676318.0,237500
EH29 9GH,312259.0,674239.0,385000
EH3 9GH,325621.0,672970.0,280000
EH6 6AT,327143.0,676245.0,410000
EH11 1DW,323720.0,672441.0,270000
EH11 1DS,323669.0,672290.0,308000
EH15 1BA,330098.0,673936.0,320000
EH13 9QJ,322811.0,668764.0,450000
EH14 3HF,319233.0,669399.0,440125
EH6 8EJ,327664.0,675601.0,520000
EH16 4GZ,329617.0,671290.0,180000
EH11 2AT,323963.0,672772.0,285000
EH6 4QR,325577.0,676315.0,307345
EH12 8QU,319668.0,673550.0,607500
EH3 6TS,324494.0,674287.0,2873
EH4 1RP,323588.0,675585.0,415000
EH6 4NU,325947.0,676412.0,510000
EH4 5BP,320610.0,675250.0,180000
EH12 9AY,319792.0,671679.0,162500
EH7 6HT,328437.0,674878.0,69907
EH10 6DG,324711.0,670496.0,1401
EH30 9PJ,313554.0,677385.0,265000
EH7 6TR,329620.0,674626.0,425000
EH6 7NH,327934.0,675676.0,763345
EH6 7NH,327934.0,675676.0,763345
EH6 5QU,326045.0,675843.0,270000
EH30 9XN,312091.0,678142.0,170000
EH3 9GG,325657.0,672951.0,268000
