postcode,price,easting,northing
E6 5XP,239000,542881.0,181828.0
E15 2ZF,114000,537894.0,183294.0
SW13 0JP,485000,521459.0,175612.0
E6 5AN,500000,542006.0,181967.0
E6 5AJ,232500,542048.0,181964.0
E6 5AJ,290500,542048.0,181964.0
E6 5AN,444500,542006.0,181967.0
E6 5AD,540000,542053.0,182026.0
E6 5AN,339404,542006.0,181967.0
E6 5AL,424000,542091.0,181965.0
E20 1PA,584000,537846.0,185082.0
E13 9HL,300000,540590.0,183200.0
E20 1PD,597000,537803.0,185123.0
E20 1PD,579000,537803.0,185123.0
SE23 1AA,290000,535665.0,173443.0
SW12 9BF,355000,528397.0,173150.0
SW11 8DP,882908,528988.0,177356.0
SW11 8DP,925000,528988.0,177356.0
N13 4PS,2250,530713.0,193081.0
E14 0EA,480000,537934.0,181033.0
E14 0EA,189000,537934.0,181033.0
E14 0EA,188000,537934.0,181033.0
E6 5AN,409500,542006.0,181967.0
SW19 1TL,268000,526583.0,170949.0
SE13 7UL,1140000,537986.0,175105.0
SW4 9PL,1152000,529866.0,174662.0
SW1V 4PS,3100000,528949.0,178472.0
SE22 8JY,652000,534340.0,173469.0
E6 1AY,525000,541592.0,184120.0
SE15 4HU,1240000,534151.0,175647.0
NW6 1HP,4300000,525697.0,185033.0
W1J 0AL,4500000,529269.0,180550.0
SE6 1QU,575000,538618.0,173215.0
N6 5LU,1625000,529212.0,187432.0
SW4 0LZ,1950000,528843.0,175728.0
SE18 3ST,390000,543277.0,177410.0
SW11 3PW,3250000,527125.0,176984.0
W1H 4NQ,2058800,527429.0,181664.0
E15 4LH,350000,539647.0,184645.0
N1 0QY,3000000,531530.0,183757.0
NW3 7BS,735000,525123.0,185923.0
SE5 9QB,385000,532118.0,176115.0
SE1 6BB,465000,532042.0,179192.0
SW11 5GX,912000,527672.0,176325.0
SE9 2EJ,717500,543826.0,173411.0
SW15 4AN,245000,522686.0,173372.0
SW20 0UE,240000,522761.0,169053.0
SW19 6AL,235000,523655.0,173375.0
SW2 2ST,625000,531289.0,174335.0
SE6 3TL,430000,537486.0,172490.0
SE12 9TJ,277500,540676.0,172185.0
SE15 4HN,550000,534265.0,175731.0
SE5 9DN,658500,531947.0,176058.0
SW8 1QR,510000,530343.0,177307.0
SW19 6HD,375000,523816.0,172763.0
SW11 6HG,1750000,527683.0,174489.0
SE1 8YR,537500,530933.0,180190.0
SW17 6DG,595000,528532.0,171788.0
SW18 5RU,530000,525084.0,173782.0
SW19 5PU,745000,524079.0,172593.0
SE13 5DP,465000,538938.0,175671.0
SW17 9BQ,590000,528679.0,171378.0
SW17 0LU,382500,526647.0,171983.0
SE27 9PG,300000,532293.0,171853.0
SW17 0AA,1025000,526404.0,172096.0
SE18 3SY,390000,543598.0,177719.0
SE22 8DP,760000,533248.0,175160.0
SE3 9QT,427500,541374.0,175840.0
SW11 4HG,900000,527696.0,176665.0
SW4 8NA,305000,529218.0,174197.0
SE12 8LU,470000,539552.0,174512.0
SW15 2QU,455000,524692.0,174858.0
SE16 7TF,841000,536374.0,179101.0
SE10 9NG,1470000,538809.0,177798.0
E16 1FH,368500,539756.0,181182.0
SW18 1RQ,1410000,525154.0,174464.0
SE5 0DA,660000,533433.0,178116.0
SW4 7LH,775000,529836.0,175356.0
SE10 8FS,736500,537636.0,176868.0
SE18 6FE,450000,543812.0,179155.0
